Plot_ID,Plant_ID,Tree_shrub,Species_CN,Stem,Area,Pla_spo,Pot,Pub_pri,Street
6,S05,Shrub,大花六道木,,0.15,Planted,Non_pot,Public,Non_street
6,S06,Shrub,宽苞十大功劳,,0.25,Planted,Non_pot,Public,Non_street
6,S08,Shrub,宽苞十大功劳,,0.25,Planted,Non_pot,Public,Non_street
6,S09,Shrub,宽苞十大功劳,,0.12,Planted,Non_pot,Public,Non_street
6,S10,Shrub,宽苞十大功劳,,0.4,Planted,Non_pot,Public,Non_street
6,S13,Shrub,宽苞十大功劳,,0.09,Planted,Non_pot,Public,Non_street
6,S07,Shrub,珍珠绣线菊,,0.81,Planted,Non_pot,Public,Non_street
6,S15,Shrub,珍珠绣线菊,,0.3,Planted,Non_pot,Public,Non_street
6,S11,Shrub,冬绿金丝桃,,0.24,Planted,Non_pot,Public,Non_street
6,S12,Shrub,大花六道木,,0.8,Planted,Non_pot,Public,Non_street
6,S14,Shrub,日本黄杨,,2.4,Planted,Non_pot,Public,Non_street
6,S16,Shrub,日本黄杨,,0.9,Planted,Non_pot,Public,Non_street
6,S01,Shrub,平户杜鹃,,0.45,Planted,Non_pot,Public,Street
6,S02,Shrub,平户杜鹃,,0.675,Planted,Non_pot,Public,Street
6,S03,Shrub,平户杜鹃,,1,Planted,Non_pot,Public,Street
6,S04,Shrub,平户杜鹃,,1,Planted,Non_pot,Public,Street
7,S05,Shrub,丰花月季,,0.04,Planted,Pot,Private,Non_street
7,S04,Shrub,薄荷,,0.09,Planted,Pot,Private,Non_street
7,S01,Shrub,鹅掌柴,,0.36,Planted,Pot,Private,Non_street
7,S02,Shrub,鹅掌柴,,0.18,Planted,Non_pot,Private,Non_street
7,S03,Shrub,山茶,,0.49,Planted,Non_pot,Private,Non_street
15,S06,Shrub,栀子,,0.6,Planted,Non_pot,Public,Non_street
15,S12,Shrub,栀子,,1,Planted,Non_pot,Public,Non_street
15,S01,Shrub,青木,,5.76,Planted,Non_pot,Public,Non_street
15,S07,Shrub,青木,,0.3,Planted,Non_pot,Public,Non_street
15,S11,Shrub,青木,,1.8,Planted,Non_pot,Public,Non_street
15,S13,Shrub,山茶,,0.7,Planted,Non_pot,Public,Non_street
15,S02,Shrub,山茶,,0.3,Planted,Non_pot,Public,Non_street
15,S03,Shrub,日本柳杉,,1.5,Planted,Non_pot,Public,Non_street
15,S04,Shrub,姬乌樟,,1.8,Planted,Non_pot,Public,Non_street
15,S05,Shrub,山茶,,0.36,Planted,Non_pot,Public,Non_street
15,S10,Shrub,马醉木,,0.49,Planted,Non_pot,Public,Non_street
15,S08,Shrub,青木,,0.6,Planted,Non_pot,Public,Non_street
15,S09,Shrub,青木,,2,Planted,Non_pot,Public,Non_street
15,S14,Shrub,朱砂根,,0.09,Planted,Non_pot,Public,Non_street
16,S05,Shrub,光蜡树,,0.42,Planted,Pot,Private,Non_street
16,S09,Shrub,薰衣草,,0.16,Planted,Pot,Private,Non_street
16,S08,Shrub,光蜡树,,1.3,Planted,Non_pot,Private,Non_street
16,S06,Shrub,月季花,,0.16,Planted,Non_pot,Private,Non_street
16,S01,Shrub,皋月杜鹃,,0.52,Planted,Non_pot,Private,Non_street
16,S03,Shrub,皋月杜鹃,,0.52,Planted,Non_pot,Private,Non_street
16,S07,Shrub,木犀榄,,1.44,Planted,Non_pot,Private,Non_street
16,S02,Shrub,南天竹,,0.26,Planted,Non_pot,Private,Non_street
16,S04,Shrub,南天竹,,0.26,Planted,Non_pot,Private,Non_street
17,S01,Shrub,皋月杜鹃,,1,Planted,Non_pot,Private,Non_street
17,S02,Shrub,皋月杜鹃,,1.2,Planted,Non_pot,Private,Non_street
17,S03,Shrub,皋月杜鹃,,1,Planted,Non_pot,Private,Non_street
17,S04,Shrub,花叶常春藤,,1.5,Planted,Non_pot,Private,Non_street
17,S05,Shrub,花叶常春藤,,1.5,Planted,Non_pot,Private,Non_street
17,S06,Shrub,花叶常春藤,,1.5,Planted,Non_pot,Private,Non_street
18,S06,Shrub,海桐,,1,Planted,Non_pot,Private,Non_street
18,S01,Shrub,光叶石楠,,1,Planted,Non_pot,Public,Street
18,S02,Shrub,光叶石楠,,8,Planted,Non_pot,Public,Street
18,S03,Shrub,光叶石楠,,1.3,Planted,Non_pot,Public,Street
18,S04,Shrub,平户杜鹃,,7.0756,Planted,Non_pot,Public,Street
18,S05,Shrub,平户杜鹃,,5.29,Planted,Non_pot,Public,Street
21,S10,Shrub,月季花,,0.25,Planted,Pot,Private,Non_street
21,S02,Shrub,美洲大树莓,,0.36,Planted,Pot,Private,Non_street
21,S03,Shrub,丰花月季,,0.04,Planted,Pot,Private,Non_street
21,S04,Shrub,地榆,,0.18,Planted,Pot,Private,Non_street
21,S05,Shrub,泽八仙花,,0.05,Planted,Pot,Private,Non_street
21,S06,Shrub,桃,,0.04,Planted,Pot,Private,Non_street
21,S07,Shrub,栎叶绣球,,0.36,Planted,Pot,Private,Non_street
21,S08,Shrub,绣球,,0.16,Planted,Pot,Private,Non_street
21,S09,Shrub,日本树莓,,0.09,Planted,Pot,Private,Non_street
21,S01,Shrub,绣球,,0.25,Planted,Non_pot,Private,Non_street
22,S01,Shrub,腋花千叶兰,,0.16,Planted,Pot,Private,Non_street
22,S02,Shrub,南天竹,,0.09,Planted,Pot,Private,Non_street
22,S03,Shrub,朴树,,0.06,Planted,Pot,Private,Non_street
22,S04,Shrub,紫薇,,0.24,Planted,Pot,Private,Non_street
22,S05,Shrub,腋花千叶兰,,0.06,Planted,Non_pot,Private,Non_street
22,S06,Shrub,朱砂根,,0.18,Planted,Non_pot,Private,Non_street
24,S01,Shrub,小蜡,,1.69,Spontaneous,Non_pot,Private,Non_street
24,S11,Shrub,紫茉莉,,6,Spontaneous,Non_pot,Private,Non_street
24,S09,Shrub,月季花,,0.16,Planted,Pot,Private,Non_street
24,S05,Shrub,冬青卫矛,,0.42,Planted,Non_pot,Private,Non_street
24,S07,Shrub,珍珠绣线菊,,0.49,Planted,Non_pot,Private,Non_street
24,S08,Shrub,鸡麻,,0.25,Planted,Non_pot,Private,Non_street
24,S10,Shrub,薄荷,,0.0225,Planted,Non_pot,Private,Non_street
24,S03,Shrub,木槿,,1,Planted,Non_pot,Private,Non_street
24,S04,Shrub,木槿,,0.7,Planted,Non_pot,Private,Non_street
24,S02,Shrub,木槿,,3.12,Planted,Non_pot,Private,Non_street
24,S06,Shrub,平户杜鹃,,2,Planted,Non_pot,Private,Non_street
37,S06,Shrub,构树,,0.25,Spontaneous,Non_pot,Public,Non_street
37,S08,Shrub,构树,,0.04,Spontaneous,Non_pot,Public,Non_street
37,S07,Shrub,楝,,0.0625,Spontaneous,Non_pot,Public,Non_street
37,S02,Shrub,女贞,,0.09,Spontaneous,Non_pot,Public,Non_street
37,S01,Shrub,朴树,,0.06,Spontaneous,Non_pot,Public,Non_street
37,S04,Shrub,朴树,,0.3,Spontaneous,Non_pot,Public,Non_street
37,S03,Shrub,乌桕,,0.09,Spontaneous,Non_pot,Public,Non_street
37,S05,Shrub,乌桕,,0.25,Spontaneous,Non_pot,Public,Non_street
43,S04,Shrub,构树,,0.36,Spontaneous,Non_pot,Private,Non_street
43,S06,Shrub,野梧桐,,0.42,Spontaneous,Non_pot,Private,Non_street
43,S08,Shrub,野梧桐,,0.09,Spontaneous,Non_pot,Private,Non_street
43,S02,Shrub,糙叶树,,3.2,Spontaneous,Non_pot,Private,Non_street
43,S12,Shrub,木犀,,1.6,Spontaneous,Non_pot,Private,Non_street
43,S05,Shrub,朴树,,0.09,Spontaneous,Non_pot,Private,Non_street
43,S07,Shrub,朴树,,0.3,Spontaneous,Non_pot,Private,Non_street
43,S09,Shrub,朴树,,0.01,Spontaneous,Non_pot,Private,Non_street
43,S10,Shrub,朴树,,0.05,Spontaneous,Non_pot,Private,Non_street
43,S11,Shrub,朴树,,0.0225,Spontaneous,Non_pot,Private,Non_street
43,S03,Shrub,樟树,,0.81,Spontaneous,Non_pot,Private,Non_street
43,S13,Shrub,楝,,0.09,Spontaneous,Non_pot,Public,Street
43,S01,Shrub,石斑木,,0.25,Planted,Non_pot,Public,Street
45,S12,Shrub,台湾吊钟花,,0.25,Planted,Pot,Private,Non_street
45,S25,Shrub,久留美杜鹃,,0.09,Planted,Pot,Private,Non_street
45,S28,Shrub,绣球,,0.25,Planted,Pot,Private,Non_street
45,S10,Shrub,燕子掌,,0.04,Planted,Pot,Private,Non_street
45,S14,Shrub,迎春花,,0.6,Planted,Pot,Private,Non_street
45,S17,Shrub,乌冈栎,,0.0625,Planted,Pot,Private,Non_street
45,S18,Shrub,金钟花,,0.25,Planted,Pot,Private,Non_street
45,S19,Shrub,香橙,,0.49,Planted,Pot,Private,Non_street
45,S20,Shrub,菊花,,0.16,Planted,Pot,Private,Non_street
45,S23,Shrub,月季花,,0.25,Planted,Pot,Private,Non_street
45,S27,Shrub,鹅掌柴,,0.4,Planted,Pot,Private,Non_street
45,S22,Shrub,马缨丹,,0.36,Planted,Pot,Private,Non_street
45,S13,Shrub,南天竹,,0.0625,Planted,Pot,Private,Non_street
45,S16,Shrub,南天竹,,0.09,Planted,Pot,Private,Non_street
45,S26,Shrub,南天竹,,0.16,Planted,Pot,Private,Non_street
45,S29,Shrub,南天竹,,0.09,Planted,Pot,Private,Non_street
45,S15,Shrub,枇杷,,0.0625,Planted,Pot,Private,Non_street
45,S11,Shrub,香橙,,0.0625,Planted,Pot,Private,Non_street
45,S21,Shrub,银杏,,0.16,Planted,Pot,Private,Non_street
45,S01,Shrub,日本扁柏,,0.09,Planted,Non_pot,Private,Non_street
45,S02,Shrub,日本扁柏,,0.09,Planted,Non_pot,Private,Non_street
45,S03,Shrub,日本扁柏,,0.09,Planted,Non_pot,Private,Non_street
45,S24,Shrub,榉树,,0.09,Planted,Non_pot,Private,Non_street
45,S04,Shrub,南天竹,,0.04,Planted,Non_pot,Private,Non_street
45,S05,Shrub,南天竹,,0.04,Planted,Non_pot,Private,Non_street
45,S06,Shrub,南天竹,,0.04,Planted,Non_pot,Private,Non_street
45,S07,Shrub,南天竹,,0.04,Planted,Non_pot,Private,Non_street
45,S08,Shrub,南天竹,,0.04,Planted,Non_pot,Private,Non_street
45,S09,Shrub,南天竹,,0.04,Planted,Non_pot,Private,Non_street
46,S01,Shrub,矮棕竹,,0.16,Planted,Pot,Private,Non_street
46,S03,Shrub,柃木,,0.0625,Planted,Pot,Private,Non_street
46,S05,Shrub,牛奶子,,0.09,Planted,Pot,Private,Non_street
46,S07,Shrub,羽扇槭,,0.25,Planted,Pot,Private,Non_street
46,S06,Shrub,鸡爪槭,,0.5,Planted,Pot,Private,Non_street
46,S04,Shrub,葡萄,,0.16,Planted,Pot,Private,Non_street
46,S02,Shrub,榕树,,0.16,Planted,Pot,Private,Non_street
46,S08,Shrub,皋月杜鹃,,1.82,Planted,Non_pot,Private,Non_street
46,S10,Shrub,南天竹,,1,Planted,Non_pot,Private,Non_street
46,S09,Shrub,朱砂根,,0.09,Planted,Non_pot,Private,Non_street
47,S17,Shrub,染井吉野樱,,1.08,Planted,Pot,Public,Non_street
47,S18,Shrub,棣棠花,,0.09,Planted,Pot,Public,Non_street
47,S19,Shrub,大叶早樱,,0.36,Planted,Pot,Public,Non_street
47,S20,Shrub,木瓜,,0.12,Planted,Pot,Public,Non_street
47,S21,Shrub,鸡麻,,0.16,Planted,Pot,Public,Non_street
47,S22,Shrub,日本栗,,0.28,Planted,Pot,Public,Non_street
47,S04,Shrub,蜡梅,,1.44,Planted,Non_pot,Public,Non_street
47,S06,Shrub,蜡梅,,1.5,Planted,Non_pot,Public,Non_street
47,S07,Shrub,蜡梅,,2.25,Planted,Non_pot,Public,Non_street
47,S09,Shrub,蜡梅,,1,Planted,Non_pot,Public,Non_street
47,S10,Shrub,蜡梅,,1.44,Planted,Non_pot,Public,Non_street
47,S15,Shrub,蜡梅,,1.44,Planted,Non_pot,Public,Non_street
47,S12,Shrub,南天竹,,1.69,Planted,Non_pot,Public,Non_street
47,S01,Shrub,青冈,,3.24,Planted,Non_pot,Public,Non_street
47,S02,Shrub,青冈,,4.32,Planted,Non_pot,Public,Non_street
47,S03,Shrub,栀子,,0.36,Planted,Non_pot,Public,Non_street
47,S05,Shrub,栀子,,0.54,Planted,Non_pot,Public,Non_street
47,S08,Shrub,栀子,,0.36,Planted,Non_pot,Public,Non_street
