Species_CN,Species_LT,Nt_ex,Genus,Family
ÔÂ¹ğ,Laurus nobilis,ex,Laurus,Verbenaceae
ÂíÓ§µ¤,Lantana camara,ex,Lantana,Verbenaceae
¼ÙÁ¬ÇÌ,Duranta erecta,ex,Duranta,Verbenaceae
»¨Ò¶ÀäË®»¨,Pilea cadierei,ex,Pilea,Urticaceae
ÈğÏã,Daphne odora,ex,Daphne,Thymelaeaceae
¶Ì±úÉ½²è,Camellia rusticana,ex,Camellia,Theaceae
É½²è,Camellia japonica,nt,Camellia,Theaceae
²èÃ·,Camellia sasanqua,nt,Camellia,Theaceae
²è,Camellia sinensis,nt,Camellia,Theaceae
Áú´¬»¨,Ixora chinensis,ex,Ixora,Schisandraceae
¸¥¼ªÄáÑÇÌğ¾Õ,Itea virginica,ex,Itea,Schisandraceae
¼¦×¦éÊ,Acer palmatum,nt,Acer,Sapindaceae
É«Ä¾éÊ,Acer pictum,ex,Acer,Sapindaceae
ÈÕ±¾ÆßÒ¶Ê÷,Aesculus turbinata,nt,Aesculus,Sapindaceae
ÓğÉÈéÊ,Acer japonicum,nt,Acer,Sapindaceae
ÏÙ³İÔ½½Û,Vaccinium oldhamii,nt,Vaccinium,Salicaceae
»±,Styphnolobium japonicum,ex,Sophora,Salicaceae
ÎÚèê,Triadica sebifera,ex,Sapium,Salicaceae
é·Ê÷,Zelkova serrata,nt,Zelkova,Salicaceae
ºú½·Ä¾,Zanthoxylum piperitum,nt,Zanthoxylum,Salicaceae
¶à»¨×ÏÌÙ,Wisteria floribunda,nt,Wisteria,Salicaceae
ÆÏÌÑ,Vitis vinifera,ex,Vitis,Salicaceae
Éºº÷Ê÷,Viburnum odoratissimum,ex,Viburnum,Salicaceae
·ÛÍÅ,Viburnum plicatum,ex,Viburnum,Salicaceae
ÀÆÓÜ,Ulmus parvifolia,nt,Ulmus,Salicaceae
ÌúÉ¼,Tsuga sieboldii,nt,Tsuga,Salicaceae
×Øéµ,Trachycarpus fortunei,ex,Trachycarpus,Salicaceae
ÑÇÖŞÂçÊ¯,Trachelospermum asiaticum,nt,Trachelospermum,Salicaceae
Ïã´»,Toona sinensis,ex,Toona,Salicaceae
µÙÄµ»¨,Tibouchina urvilleana,ex,Tibouchina,Salicaceae
ºñÆ¤Ïã,Ternstroemia gymnanthera,nt,Ternstroemia,Salicaceae
ºì¶¹É¼,Taxus chinensis,ex,Taxus,Salicaceae
ÍøÂö¶¡Ïã,Syringa reticulata,ex,Syringa,Salicaceae
É½·¯,Symplocos sumuntia,ex,Symplocos,Salicaceae
Ò°ÜÔÀò,Styrax japonicus,ex,Styrax,Salicaceae
ÏÄ´»,Stewartia pseudocamellia,nt,Stewartia,Salicaceae
ÕäÖéĞåÏß¾Õ,Spiraea thunbergii,nt,Spiraea,Salicaceae
·Û»¨ĞåÏß¾Õ,Spiraea japonica,nt,Spiraea,Salicaceae
ÂéÒ¶ĞåÏß¾Õ,Spiraea cantoniensis,ex,Spiraea,Salicaceae
ÁùÔÂÑ©,Serissa japonica,ex,Serissa,Salicaceae
¹ÛÒôÁ«,Sempervivum tectorum,ex,Sempervivum,Salicaceae
Ğ·×¦À¼,Schlumbergera truncata,ex,Schlumbergera,Salicaceae
¶ìÕÆ²ñ,Schefflera heptaphylla,ex,Schefflera,Salicaceae
Ò°ÉÈ»¨,Sarcococca ruscifolia,ex,Sarcococca,Salicaceae
²İÉºº÷,Sarcandra glabra,nt,Sarcandra,Salicaceae
´óºüÁø,salix futura,ex,Salix,Salicaceae
´¹Áø,Salix babylonica,ex,Salix,Salicaceae
½ğ¸Ì,Citrus japonica,ex,Fortunella,Rutaceae
¸ÌéÙ,Citrus unshiu,ex,Citrus,Rutaceae
Ïã³È,Citrus junos,ex,Citrus,Rutaceae
ÄûÃÊ,Citrus limon,ex,Citrus,Rutaceae
¸ÊÏÄ,Citrus natsudaidai,ex,Citrus,Rutaceae
ÓñÒ¶½ğ»¨,Mussaenda pubescens,ex,Mussaenda,Rubiaceae
èÙ×Ó,Gardenia jasminoides,nt,Gardenia,Rubiaceae
Çà¸Ô,Quercus glauca,nt,Cyclobalanopsis,Rosaceae
´óÒ¶ÔçÓ£,Prunus subhirtella,ex,Cerasus,Rosaceae
Ä¾¹Ï,Pseudocydonia sinensis,ex,Chaenomeles,Rosaceae
Ğ¡Ò¶Çà¸Ô,Quercus myrsinifolia,ex,Cyclobalanopsis,Rosaceae
ÔÂ¼¾»¨,Rosa chinensis,ex,Rosa,Rosaceae
µØÓÜ,Sanguisorba officinalis,nt,Sanguisorba,Rosaceae
