Plot_ID,Land_use_type
299,Com
300,Com
305,Com
268,Com-neigh
260,Com-neigh
239,Ind
329,Ind
18,R-high
158,R-high
150,R-high
139,R-high
67,R-low
48,R-other
43,R-other
259,Com-neigh
244,Ind
25,R-high
16,R-high
98,R-low
177,R-other
209,R-other
349,R-other
350,R-other
199,R-other
281,Com
283,Com
304,Com
297,Com
279,Com-neigh
313,Ind
175,R-other
214,R-other
293,Com
301,Com
274,Com-neigh
270,Com-neigh
276,Com-neigh
309,Ind
317,Ind
332,Ind
327,Ind
343,Ind
217,Ind
234,Ind
237,Ind
318,Ind
331,Ind
230,Ind
338,Ind
341,Ind
22,R-high
138,R-high
147,R-high
143,R-high
156,R-high
141,R-high
152,R-high
159,R-high
171,R-high
135,R-high
165,R-high
153,R-high
21,R-high
127,R-high
149,R-high
161,R-high
24,R-high
142,R-high
155,R-high
97,R-low
111,R-low
115,R-low
68,R-low
71,R-low
94,R-low
121,R-low
63,R-low
83,R-low
110,R-low
118,R-low
6,R-low
103,R-low
73,R-low
86,R-low
119,R-low
125,R-low
84,R-low
65,R-low
74,R-low
89,R-low
109,R-low
122,R-low
78,R-low
92,R-low
105,R-low
112,R-low
7,R-low
75,R-low
96,R-low
102,R-low
60,R-other
46,R-other
58,R-other
189,R-other
198,R-other
188,R-other
179,R-other
183,R-other
206,R-other
210,R-other
176,R-other
185,R-other
45,R-other
187,R-other
195,R-other
193,R-other
50,R-other
213,R-other
202,R-other
191,R-other
130,R-high
285,Com
284,Com
269,Com-neigh
261,Com-neigh
326,Ind
144,R-high
17,R-high
157,R-high
131,R-high
196,R-other
286,Com
221,Ind
255,Ind
218,Ind
57,R-other
334,Ind
167,R-high
128,R-high
133,R-high
100,R-low
36,R-other
204,R-other
203,R-other
164,R-high
76,R-low
201,R-other
303,Com
225,Ind
307,Ind
53,R-other
55,R-other
240,Ind
245,Ind
137,R-high
219,Ind
81,R-low
146,R-high
37,R-other
54,R-other
298,Com
264,Com-neigh
311,Ind
15,R-high
66,R-low
208,R-other
47,R-other
52,R-other
186,R-other
321,Ind
172,R-high
163,R-high
136,R-high
93,R-low
129,R-high
