Plot_ID,Plant_ID,Species_CN,Area,Pla_Spo,Pot,Pub_Pri,Street
6,S05,大花六道木,0.15,P,N,Y,N
6,S06,宽苞十大功劳,0.25,P,N,Y,N
6,S08,宽苞十大功劳,0.25,P,N,Y,N
6,S09,宽苞十大功劳,0.12,P,N,Y,N
6,S10,宽苞十大功劳,0.4,P,N,Y,N
6,S13,宽苞十大功劳,0.09,P,N,Y,N
6,S07,珍珠绣线菊,0.81,P,N,Y,N
6,S15,珍珠绣线菊,0.3,P,N,Y,N
6,S11,冬绿金丝桃,0.24,P,N,Y,N
6,S12,大花六道木,0.8,P,N,Y,N
6,S14,日本黄杨,2.4,P,N,Y,N
6,S16,日本黄杨,0.9,P,N,Y,N
6,S01,平户杜鹃,0.45,P,N,Y,Y
6,S02,平户杜鹃,0.675,P,N,Y,Y
6,S03,平户杜鹃,1,P,N,Y,Y
6,S04,平户杜鹃,1,P,N,Y,Y
7,S05,丰花月季,0.04,P,Y,N,N
7,S04,薄荷,0.09,P,Y,N,N
7,S01,鹅掌柴,0.36,P,Y,N,N
7,S02,鹅掌柴,0.18,P,N,N,N
7,S03,山茶,0.49,P,N,N,N
15,S06,栀子,0.6,P,N,Y,N
15,S12,栀子,1,P,N,Y,N
15,S01,青木,5.76,P,N,Y,N
15,S07,青木,0.3,P,N,Y,N
15,S11,青木,1.8,P,N,Y,N
15,S13,山茶,0.7,P,N,Y,N
15,S02,山茶,0.3,P,N,Y,N
15,S03,日本柳杉,1.5,P,N,Y,N
15,S04,姬乌樟,1.8,P,N,Y,N
15,S05,山茶,0.36,P,N,Y,N
15,S10,马醉木,0.49,P,N,Y,N
15,S08,青木,0.6,P,N,Y,N
15,S09,青木,2,P,N,Y,N
15,S14,朱砂根,0.09,P,N,Y,N
16,S05,光蜡树,0.42,P,Y,N,N
16,S09,薰衣草,0.16,P,Y,N,N
16,S08,光蜡树,1.3,P,N,N,N
16,S06,月季花,0.16,P,N,N,N
16,S01,皋月杜鹃,0.52,P,N,N,N
16,S03,皋月杜鹃,0.52,P,N,N,N
16,S07,木犀榄,1.44,P,N,N,N
16,S02,南天竹,0.26,P,N,N,N
16,S04,南天竹,0.26,P,N,N,N
17,S01,皋月杜鹃,1,P,N,N,N
17,S02,皋月杜鹃,1.2,P,N,N,N
17,S03,皋月杜鹃,1,P,N,N,N
17,S04,花叶常春藤,1.5,P,N,N,N
17,S05,花叶常春藤,1.5,P,N,N,N
17,S06,花叶常春藤,1.5,P,N,N,N
18,S06,海桐,1,P,N,N,N
18,S01,光叶石楠,1,P,N,Y,Y
18,S02,光叶石楠,8,P,N,Y,Y
18,S03,光叶石楠,1.3,P,N,Y,Y
18,S04,平户杜鹃,7.0756,P,N,Y,Y
18,S05,平户杜鹃,5.29,P,N,Y,Y
21,S10,月季花,0.25,P,Y,N,N
21,S02,美洲大树莓,0.36,P,Y,N,N
21,S03,丰花月季,0.04,P,Y,N,N
21,S04,地榆,0.18,P,Y,N,N
21,S05,泽八仙花,0.05,P,Y,N,N
21,S06,桃,0.04,P,Y,N,N
21,S07,栎叶绣球,0.36,P,Y,N,N
21,S08,绣球,0.16,P,Y,N,N
21,S09,日本树莓,0.09,P,Y,N,N
21,S01,绣球,0.25,P,N,N,N
22,S01,腋花千叶兰,0.16,P,Y,N,N
22,S02,南天竹,0.09,P,Y,N,N
22,S03,朴树,0.06,P,Y,N,N
22,S04,紫薇,0.24,P,Y,N,N
22,S05,腋花千叶兰,0.06,P,N,N,N
22,S06,朱砂根,0.18,P,N,N,N
24,S01,小蜡,1.69,S,N,N,N
24,S11,紫茉莉,6,S,N,N,N
24,S09,月季花,0.16,P,Y,N,N
24,S05,冬青卫矛,0.42,P,N,N,N
24,S07,珍珠绣线菊,0.49,P,N,N,N
24,S08,鸡麻,0.25,P,N,N,N
24,S10,薄荷,0.0225,P,N,N,N
24,S03,木槿,1,P,N,N,N
24,S04,木槿,0.7,P,N,N,N
24,S02,木槿,3.12,P,N,N,N
24,S06,平户杜鹃,2,P,N,N,N
37,S06,构树,0.25,S,N,Y,N
37,S08,构树,0.04,S,N,Y,N
37,S07,楝,0.0625,S,N,Y,N
37,S02,女贞,0.09,S,N,Y,N
37,S01,朴树,0.06,S,N,Y,N
37,S04,朴树,0.3,S,N,Y,N
37,S03,乌桕,0.09,S,N,Y,N
37,S05,乌桕,0.25,S,N,Y,N
43,S04,构树,0.36,S,N,N,N
43,S06,野梧桐,0.42,S,N,N,N
43,S08,野梧桐,0.09,S,N,N,N
43,S02,糙叶树,3.2,S,N,N,N
43,S12,木犀,1.6,S,N,N,N
43,S05,朴树,0.09,S,N,N,N
43,S07,朴树,0.3,S,N,N,N
43,S09,朴树,0.01,S,N,N,N
43,S10,朴树,0.05,S,N,N,N
43,S11,朴树,0.0225,S,N,N,N
43,S03,樟树,0.81,S,N,N,N
43,S13,楝,0.09,S,N,Y,Y
43,S01,石斑木,0.25,P,N,Y,Y
45,S12,台湾吊钟花,0.25,P,Y,N,N
45,S25,久留美杜鹃,0.09,P,Y,N,N
45,S28,绣球,0.25,P,Y,N,N
45,S10,燕子掌,0.04,P,Y,N,N
45,S14,迎春花,0.6,P,Y,N,N
45,S17,乌冈栎,0.0625,P,Y,N,N
45,S18,金钟花,0.25,P,Y,N,N
45,S19,香橙,0.49,P,Y,N,N
45,S20,菊花,0.16,P,Y,N,N
45,S23,月季花,0.25,P,Y,N,N
45,S27,鹅掌柴,0.4,P,Y,N,N
45,S22,马缨丹,0.36,P,Y,N,N
45,S13,南天竹,0.0625,P,Y,N,N
45,S16,南天竹,0.09,P,Y,N,N
45,S26,南天竹,0.16,P,Y,N,N
45,S29,南天竹,0.09,P,Y,N,N
45,S15,枇杷,0.0625,P,Y,N,N
45,S11,香橙,0.0625,P,Y,N,N
45,S21,银杏,0.16,P,Y,N,N
45,S01,日本扁柏,0.09,P,N,N,N
45,S02,日本扁柏,0.09,P,N,N,N
45,S03,日本扁柏,0.09,P,N,N,N
45,S24,榉树,0.09,P,N,N,N
45,S04,南天竹,0.04,P,N,N,N
45,S05,南天竹,0.04,P,N,N,N
45,S06,南天竹,0.04,P,N,N,N
45,S07,南天竹,0.04,P,N,N,N
45,S08,南天竹,0.04,P,N,N,N
45,S09,南天竹,0.04,P,N,N,N
46,S01,矮棕竹,0.16,P,Y,N,N
46,S03,柃木,0.0625,P,Y,N,N
46,S05,牛奶子,0.09,P,Y,N,N
46,S07,羽扇槭,0.25,P,Y,N,N
46,S06,鸡爪槭,0.5,P,Y,N,N
46,S04,葡萄,0.16,P,Y,N,N
46,S02,榕树,0.16,P,Y,N,N
46,S08,皋月杜鹃,1.82,P,N,N,N
46,S10,南天竹,1,P,N,N,N
46,S09,朱砂根,0.09,P,N,N,N
47,S17,染井吉野樱,1.08,P,Y,Y,N
47,S18,棣棠花,0.09,P,Y,Y,N
47,S19,大叶早樱,0.36,P,Y,Y,N
47,S20,木瓜,0.12,P,Y,Y,N
47,S21,鸡麻,0.16,P,Y,Y,N
47,S22,日本栗,0.28,P,Y,Y,N
47,S04,蜡梅,1.44,P,N,Y,N
47,S06,蜡梅,1.5,P,N,Y,N
47,S07,蜡梅,2.25,P,N,Y,N
47,S09,蜡梅,1,P,N,Y,N
47,S10,蜡梅,1.44,P,N,Y,N
47,S15,蜡梅,1.44,P,N,Y,N
47,S12,南天竹,1.69,P,N,Y,N
47,S01,青冈,3.24,P,N,Y,N
47,S02,青冈,4.32,P,N,Y,N
47,S03,栀子,0.36,P,N,Y,N
47,S05,栀子,0.54,P,N,Y,N
47,S08,栀子,0.36,P,N,Y,N
47,S11,栀子,0.36,P,N,Y,N
47,S13,栀子,1,P,N,Y,N
47,S14,栀子,1.44,P,N,Y,N
47,S16,栀子,0.25,P,N,Y,N
50,S01,紫荆,2.56,S,N,N,N
50,S03,南天竹,0.36,S,N,N,N
50,S02,日本紫珠,0.8,S,N,N,N
52,S07,桃,0.81,S,N,Y,N
52,S18,柿,0.24,S,N,Y,N
52,S20,香椿,0.48,S,N,Y,N
52,S08,鸡爪槭,0.09,S,N,Y,N
52,S09,鸡爪槭,0.81,S,N,Y,N
52,S10,鸡爪槭,0.54,S,N,Y,N
52,S19,鸡爪槭,0.54,S,N,Y,N
52,S22,鸡爪槭,0.09,S,N,Y,N
52,S23,鸡爪槭,0.48,S,N,Y,N
52,S02,榉树,1.2,S,N,Y,N
52,S21,枇杷,0.42,S,N,Y,N
52,S04,朴树,0.06,S,N,Y,N
52,S05,朴树,0.04,S,N,Y,N
52,S06,朴树,0.24,S,N,Y,N
52,S11,青冈,0.16,S,N,Y,N
52,S12,青冈,0.16,S,N,Y,N
52,S13,青冈,0.16,S,N,Y,N
52,S14,青冈,0.16,S,N,Y,N
52,S15,青冈,0.16,S,N,Y,N
52,S16,青冈,0.16,S,N,Y,N
52,S17,青冈,0.16,S,N,Y,N
52,S03,日本柳杉,0.96,P,N,Y,N
52,S01,青冈,20,P,N,Y,N
53,S01,青冈,4.5,P,N,N,N
55,S06,短柄山茶,0.36,P,N,Y,N
55,S12,六月雪,0.04,P,N,Y,N
55,S08,铁冬青,1,P,N,Y,N
55,S07,八角金盘,3,P,N,Y,N
55,S05,红山樱,1.2,P,N,Y,N
55,S10,红山樱,0.03,P,N,Y,N
55,S01,石斑木,0.04,P,N,Y,N
55,S04,南天竹,0.81,P,N,Y,N
55,S09,南天竹,1.8,P,N,Y,N
55,S11,朴树,0.06,P,N,Y,N
55,S02,台湾十大功劳,0.36,P,N,Y,N
55,S03,台湾十大功劳,0.24,P,N,Y,N
57,S02,矮棕竹,0.09,P,Y,N,N
57,S01,薄荷,0.8,P,N,N,N
57,S04,三角槭,0.64,P,N,N,N
57,S03,矮棕竹,0.24,P,N,N,N
57,S05,皋月杜鹃,0.04,P,N,N,N
58,S24,山茶,0.25,P,Y,N,N
58,S19,富宁槭,0.36,P,Y,N,N
58,S02,蒂牡花,0.09,P,Y,N,N
58,S04,观音莲,0.3,P,Y,N,N
58,S22,香桃木,0.105,P,Y,N,N
58,S23,胡椒木,0.04,P,Y,N,N
58,S28,绣球,0.04,P,Y,N,N
58,S29,绣球,0.1225,P,Y,N,N
58,S30,绣球,0.1225,P,Y,N,N
58,S31,红萼苘麻,0.24,P,Y,N,N
58,S27,鸡爪槭,0.25,P,Y,N,N
58,S25,木槿,0.64,P,Y,N,N
58,S26,木槿,0.49,P,Y,N,N
58,S05,天竺葵,0.09,P,Y,N,N
58,S06,天竺葵,0.09,P,Y,N,N
58,S07,天竺葵,0.09,P,Y,N,N
58,S08,天竺葵,0.09,P,Y,N,N
58,S09,天竺葵,0.09,P,Y,N,N
58,S10,天竺葵,0.01,P,Y,N,N
58,S11,天竺葵,0.09,P,Y,N,N
58,S12,天竺葵,0.09,P,Y,N,N
58,S13,天竺葵,0.09,P,Y,N,N
58,S14,天竺葵,0.09,P,Y,N,N
58,S15,天竺葵,0.09,P,Y,N,N
58,S16,天竺葵,0.09,P,Y,N,N
58,S17,天竺葵,0.0225,P,Y,N,N
58,S18,天竺葵,0.09,P,Y,N,N
