Plot_ID,Plant_ID,Species_CN,Pla_Spo,Pot,Pub_Pri,Street
15,T01,樟树,S,N,N,N
15,T02,日本扁柏,P,N,N,N
15,T03,日本扁柏,P,N,N,N
15,T04,日本扁柏,P,N,N,N
15,T05,日本扁柏,P,N,N,N
15,T06,日本扁柏,P,N,N,N
15,T07,日本女贞,P,N,N,N
15,T08,山茶,P,N,N,N
15,T09,山茶,P,N,N,N
15,T10,山茶,P,N,N,N
15,T11,日本扁柏,P,N,N,N
58,T03,合欢,P,Y,N,N
96,T04,野迎春,P,Y,N,N
97,T05,柑橘,P,Y,N,N
97,T07,燕子掌,P,Y,N,N
97,T09,胡椒木,P,Y,N,N
97,T08,美花红千层,P,Y,N,N
97,T06,柊树,P,Y,N,N
112,T08,月季花,P,Y,N,N
112,T07,糙叶树,P,Y,N,N
112,T10,鸡爪槭,P,Y,N,N
112,T11,鸡爪槭,P,Y,N,N
112,T09,榉树,P,Y,N,N
142,T01,木犀榄,P,Y,N,N
24,T01,野梧桐,S,N,N,N
43,T04,糙叶树,S,N,N,N
43,T05,构树,S,N,N,N
43,T08,朴树,S,N,N,N
54,T08,南天竹,S,N,N,N
54,T09,南天竹,S,N,N,N
55,T06,朴树,S,N,N,N
55,T05,小蜡,S,N,N,N
60,T01,茶,S,N,N,N
60,T02,女贞,S,N,N,N
60,T03,女贞,S,N,N,N
83,T03,南天竹,S,N,N,N
112,T01,南天竹,S,N,N,N
112,T03,朴树,S,N,N,N
112,T04,桑,S,N,N,N
122,T01,大叶胡颓子,S,N,N,N
138,T07,南天竹,S,N,N,N
138,T09,枇杷,S,N,N,N
138,T01,亚洲络石,S,N,N,N
138,T06,亚洲络石,S,N,N,N
138,T03,盐肤木,S,N,N,N
138,T04,盐肤木,S,N,N,N
138,T05,盐肤木,S,N,N,N
138,T08,盐肤木,S,N,N,N
163,T07,朴树,S,N,N,N
163,T05,洋火棘,S,N,N,N
163,T12,洋火棘,S,N,N,N
214,T01,苎麻,S,N,N,N
307,T01,柑橘,S,N,N,N
53,T02,糙叶树,S,N,N,N
53,T01,日本女贞,S,N,N,N
53,T03,樟树,S,N,N,N
188,T01,月季花,P,Y,N,N
188,T02,染井吉野樱,P,Y,N,N
191,T01,大叶早樱,P,Y,N,N
191,T02,大叶早樱,P,Y,N,N
191,T03,南天竹,P,Y,N,N
217,T01,大叶早樱,P,Y,N,N
237,T01,厚皮香,P,Y,N,N
270,T02,洋火棘,P,Y,N,N
281,T02,鹅掌柴,P,Y,N,N
293,T01,女贞,P,Y,N,N
138,T10,大花四照花,P,N,N,N
17,T05,茶梅,P,N,N,N
17,T03,榉树,P,N,N,N
17,T04,三裂树参,P,N,N,N
17,T06,三裂树参,P,N,N,N
17,T01,山茶,P,N,N,N
17,T02,山茶,P,N,N,N
18,T05,榉树,P,N,N,N
18,T04,青冈,P,N,N,N
21,T04,网脉丁香,P,N,N,N
21,T06,日本商陆,P,N,N,N
21,T08,假连翘,P,N,N,N
21,T03,冬青卫矛,P,N,N,N
21,T07,合欢,P,N,N,N
21,T01,榉树,P,N,N,N
21,T02,木犀,P,N,N,N
21,T05,日本树莓,P,N,N,N
22,T13,木犀,P,N,N,N
22,T14,木犀,P,N,N,N
22,T01,南天竹,P,N,N,N
22,T02,南天竹,P,N,N,N
22,T03,南天竹,P,N,N,N
22,T04,南天竹,P,N,N,N
22,T05,南天竹,P,N,N,N
22,T06,南天竹,P,N,N,N
22,T15,南天竹,P,N,N,N
22,T16,南天竹,P,N,N,N
22,T18,南天竹,P,N,N,N
22,T19,南天竹,P,N,N,N
22,T20,南天竹,P,N,N,N
22,T22,南天竹,P,N,N,N
22,T23,南天竹,P,N,N,N
22,T24,南天竹,P,N,N,N
22,T25,南天竹,P,N,N,N
22,T26,南天竹,P,N,N,N
22,T27,南天竹,P,N,N,N
22,T28,南天竹,P,N,N,N
22,T29,南天竹,P,N,N,N
22,T30,南天竹,P,N,N,N
22,T31,南天竹,P,N,N,N
22,T32,南天竹,P,N,N,N
22,T33,南天竹,P,N,N,N
22,T34,南天竹,P,N,N,N
22,T07,朴树,P,N,N,N
22,T08,珊瑚树,P,N,N,N
22,T21,台湾十大功劳,P,N,N,N
22,T35,绣球,P,N,N,N
22,T36,绣球,P,N,N,N
22,T17,银杏,P,N,N,N
22,T09,紫薇,P,N,N,N
22,T10,紫薇,P,N,N,N
22,T11,棕榈,P,N,N,N
22,T12,棕榈,P,N,N,N
24,T03,圆柏,P,N,N,N
24,T04,圆柏,P,N,N,N
24,T05,圆柏,P,N,N,N
24,T09,榉树,P,N,N,N
24,T10,梅,P,N,N,N
24,T14,香桃木,P,N,N,N
24,T02,木犀榄,P,N,N,N
24,T07,南天竹,P,N,N,N
24,T11,南天竹,P,N,N,N
24,T12,南天竹,P,N,N,N
24,T06,平户杜鹃,P,N,N,N
24,T13,柿,P,N,N,N
24,T08,无花果,P,N,N,N
24,T15,珍珠绣线菊,P,N,N,N
25,T01,野茉莉,P,N,N,N
25,T02,野茉莉,P,N,N,N
25,T03,南天竹,P,N,N,N
25,T11,三裂树参,P,N,N,N
25,T12,三裂树参,P,N,N,N
25,T06,冬青卫矛,P,N,N,N
25,T07,冬青卫矛,P,N,N,N
25,T08,南天竹,P,N,N,N
25,T09,南天竹,P,N,N,N
25,T10,南天竹,P,N,N,N
25,T04,三裂树参,P,N,N,N
25,T05,柊树,P,N,N,N
43,T01,木犀,P,N,N,N
43,T06,木犀,P,N,N,N
43,T07,女贞,P,N,N,N
43,T02,樟树,P,N,N,N
43,T03,樟树,P,N,N,N
45,T01,连香树,P,N,N,N
45,T02,连香树,P,N,N,N
45,T03,木槿,P,N,N,N
45,T05,南天竹,P,N,N,N
45,T04,樟树,P,N,N,N
46,T02,台湾吊钟花,P,N,N,N
46,T03,台湾吊钟花,P,N,N,N
46,T04,台湾吊钟花,P,N,N,N
46,T05,木芙蓉,P,N,N,N
46,T08,日本辛夷,P,N,N,N
46,T09,日本辛夷,P,N,N,N
46,T10,台湾吊钟花,P,N,N,N
46,T11,台湾吊钟花,P,N,N,N
46,T12,台湾吊钟花,P,N,N,N
46,T13,台湾吊钟花,P,N,N,N
46,T01,鸡爪槭,P,N,N,N
46,T07,鸡爪槭,P,N,N,N
46,T06,十大功劳,P,N,N,N
50,T01,木犀,P,N,N,N
50,T02,木犀,P,N,N,N
50,T04,木犀,P,N,N,N
50,T03,南天竹,P,N,N,N
53,T12,八角金盘,P,N,N,N
53,T05,糙叶树,P,N,N,N
53,T06,青冈,P,N,N,N
53,T08,青冈,P,N,N,N
53,T11,青冈,P,N,N,N
53,T04,日本女贞,P,N,N,N
53,T09,雪松,P,N,N,N
53,T10,雪松,P,N,N,N
53,T07,樟树,P,N,N,N
54,T03,厚皮香,P,N,N,N
54,T04,厚皮香,P,N,N,N
54,T05,大叶冬青,P,N,N,N
54,T07,荷花玉兰,P,N,N,N
54,T11,荷花玉兰,P,N,N,N
54,T06,罗汉松,P,N,N,N
54,T10,罗汉松,P,N,N,N
54,T02,蚊母树,P,N,N,N
58,T08,日本辛夷,P,N,N,N
58,T05,矮棕竹,P,N,N,N
58,T02,茶梅,P,N,N,N
58,T07,黑松,P,N,N,N
58,T01,红萼苘麻,P,N,N,N
58,T04,木犀,P,N,N,N
58,T06,木犀,P,N,N,N
60,T18,光叶石楠,P,N,N,N
60,T19,光叶石楠,P,N,N,N
60,T20,光叶石楠,P,N,N,N
60,T05,南天竹,P,N,N,N
