Plot_ID,Land_use_type
299,Com
300,Com
305,Com
281,Com
283,Com
304,Com
297,Com
293,Com
301,Com
285,Com
284,Com
286,Com
303,Com
298,Com
268,ComNbr
260,ComNbr
259,ComNbr
279,ComNbr
274,ComNbr
270,ComNbr
276,ComNbr
269,ComNbr
261,ComNbr
264,ComNbr
239,Ind
329,Ind
244,Ind
313,Ind
309,Ind
317,Ind
332,Ind
327,Ind
343,Ind
217,Ind
234,Ind
237,Ind
318,Ind
331,Ind
230,Ind
338,Ind
341,Ind
326,Ind
221,Ind
255,Ind
218,Ind
334,Ind
225,Ind
307,Ind
240,Ind
245,Ind
219,Ind
311,Ind
321,Ind
18,ResHigh
158,ResHigh
150,ResHigh
139,ResHigh
25,ResHigh
16,ResHigh
22,ResHigh
138,ResHigh
147,ResHigh
143,ResHigh
156,ResHigh
141,ResHigh
152,ResHigh
159,ResHigh
171,ResHigh
135,ResHigh
165,ResHigh
153,ResHigh
21,ResHigh
127,ResHigh
149,ResHigh
161,ResHigh
24,ResHigh
142,ResHigh
155,ResHigh
130,ResHigh
144,ResHigh
17,ResHigh
157,ResHigh
131,ResHigh
167,ResHigh
128,ResHigh
133,ResHigh
164,ResHigh
137,ResHigh
146,ResHigh
15,ResHigh
172,ResHigh
163,ResHigh
136,ResHigh
129,ResHigh
67,ResLow
98,ResLow
97,ResLow
111,ResLow
115,ResLow
68,ResLow
71,ResLow
94,ResLow
121,ResLow
63,ResLow
83,ResLow
110,ResLow
118,ResLow
6,ResLow
103,ResLow
73,ResLow
86,ResLow
119,ResLow
125,ResLow
84,ResLow
65,ResLow
74,ResLow
89,ResLow
109,ResLow
122,ResLow
78,ResLow
92,ResLow
105,ResLow
112,ResLow
7,ResLow
75,ResLow
96,ResLow
102,ResLow
100,ResLow
76,ResLow
81,ResLow
66,ResLow
93,ResLow
48,ResOther
43,ResOther
177,ResOther
209,ResOther
349,ResOther
350,ResOther
199,ResOther
175,ResOther
214,ResOther
60,ResOther
46,ResOther
58,ResOther
189,ResOther
198,ResOther
188,ResOther
179,ResOther
183,ResOther
206,ResOther
210,ResOther
176,ResOther
185,ResOther
45,ResOther
187,ResOther
195,ResOther
193,ResOther
50,ResOther
213,ResOther
202,ResOther
191,ResOther
196,ResOther
57,ResOther
36,ResOther
204,ResOther
203,ResOther
201,ResOther
53,ResOther
55,ResOther
37,ResOther
54,ResOther
208,ResOther
47,ResOther
52,ResOther
186,ResOther
