"","MDS1","MDS2","Plot_ID","Plot_pub_pri","Ward","Landuse_subclass","Landuse_class","Landuse_agg","Dist","Dist_level","Plot_pub_pri_level"
"1",-0.00717139288472282,0.0454216859232912,15,0.311111111111111,"Kamigy身-ku","R high II","R high","Res",3478.822964,"Cen-Mid","Mix area"
"2",-0.0716318939886802,-0.0449767779157755,58,0,"Higashiyama-ku","R resi II","R resi","Res",1332.746324,"Center","Private area"
"3",-0.0695058933825659,-0.101212250654321,96,0,"Fushimi-ku","R low I","R low","Res",6922.357398,"Mid_Sub","Private area"
"4",-0.00949010218102042,0.127382652785078,97,0,"Saky身-ku","R low I","R low","Res",4031.163077,"Cen-Mid","Private area"
"5",0.0231459387210705,0.0204893740338356,112,0,"Kita-ku","R low I","R low","Res",6015.076915,"Mid_Sub","Private area"
"6",-0.12633475542578,0.0260485325282986,142,0,"Fushimi-ku","R high I","R high","Res",7668.194848,"Mid_Sub","Private area"
"7",0.0208945604293335,0.00226063013540893,24,0.0714285714285714,"Fushimi-ku","R high II","R high","Res",6825.370105,"Mid_Sub","Mix area"
"8",0.0538946901151761,-0.033519792754349,43,0.0952380952380952,"Minami-ku","R resi II","R resi","Res",6569.838368,"Mid_Sub","Mix area"
"9",-0.05461657115488,-0.0428219189885519,54,0.0909090909090909,"Saky身-ku","R resi II","R resi","Res",1266.776482,"Center","Mix area"
"10",-0.0192066520233532,-0.0522283040514864,55,0.888888888888889,"Kamigy身-ku","R resi II","R resi","Res",2648.380027,"Center","Mix area"
"11",0.010138098443566,-0.0273850285724451,60,0,"Saky身-ku","R resi II","R resi","Res",1707.053051,"Center","Private area"
"12",-0.0496755655378486,0.0384923732798252,83,0.0714285714285714,"Saky身-ku","R low I","R low","Res",6732.207335,"Mid_Sub","Mix area"
"13",0.0478110589650763,-0.204207058686587,122,0,"Fushimi-ku","R low I","R low","Res",7690.246014,"Mid_Sub","Private area"
"14",-0.124739705095381,-0.0364705650955815,138,0,"Yamashina-ku","R high I","R high","Res",6670.276264,"Mid_Sub","Private area"
"15",0.0774198775070038,-0.03093327953548,163,0.64,"Saky身-ku","R high I","R high","Res",5263.572186,"Cen-Mid","Mix area"
"16",-0.0969121229610216,-0.0548347188692383,307,0,"Fushimi-ku","Ind quasi","Ind","Ind",4482.664829,"Cen-Mid","Private area"
"17",0.116668184731545,0.0288474588586112,53,0,"Saky身-ku","R resi II","R resi","Res",1908.555353,"Center","Private area"
"18",-0.0725608403301467,0.0772418957125848,191,0,"Saky身-ku","R resi I","R resi","Res",3190.370274,"Cen-Mid","Private area"
"19",0.0261133451498569,0.0713631998364705,217,0,"Uky身-ku","Ind","Ind","Ind",4389.120723,"Cen-Mid","Private area"
"20",-0.0970917014058208,-0.0442846714149025,270,0,"Shimogy身-ku","Com neigh","Com neigh","Com",1744.119941,"Center","Private area"
"21",0.0507819331930644,0.033078078248721,17,0,"Fushimi-ku","R high II","R high","Res",5432.434177,"Cen-Mid","Private area"
"22",0.116611574634585,-0.087744400858093,18,0.727272727272727,"Saky身-ku","R high II","R high","Res",6962.817086,"Mid_Sub","Mix area"
"23",0.0413614861184416,-0.0894851594030588,21,0,"Yamashina-ku","R high II","R high","Res",4979.492188,"Cen-Mid","Private area"
"24",-0.0297488422128055,-0.0674045473764931,22,0,"Saky身-ku","R high II","R high","Res",3486.049406,"Cen-Mid","Private area"
"25",-0.0526214359131879,0.078609450834331,25,0,"Kita-ku","R high II","R high","Res",5601.540462,"Cen-Mid","Private area"
"26",-0.0203275440631879,0.0644703034563472,45,0,"Minami-ku","R resi II","R resi","Res",2997.441048,"Center","Private area"
"27",-0.0205460277895211,0.149312652181588,46,0,"Higashiyama-ku","R resi II","R resi","Res",1382.867604,"Center","Private area"
"28",-0.0811056578517253,-0.0350507302986721,50,0,"Fushimi-ku","R resi II","R resi","Res",6354.806849,"Mid_Sub","Private area"
"29",-0.0575726595051903,0.0231521992225747,63,0.131578947368421,"Saky身-ku","R low I","R low","Res",7595.860856,"Mid_Sub","Mix area"
"30",-0.0111629649278836,0.0325419140006272,68,0,"Kita-ku","R low I","R low","Res",5993.598634,"Cen-Mid","Private area"
"31",-0.0110303060693274,-0.109899276879051,71,0,"Saky身-ku","R low I","R low","Res",5183.800499,"Cen-Mid","Private area"
"32",-0.0382975700508221,-0.0102579629738273,74,0.142857142857143,"Yamashina-ku","R low I","R low","Res",6428.981114,"Mid_Sub","Mix area"
"33",0.0934916780093194,0.169920788824372,75,0,"Fushimi-ku","R low I","R low","Res",6884.212095,"Mid_Sub","Private area"
"34",-0.0138280242939663,0.00464919472674754,76,0.352941176470588,"Nishiky身-ku","R low I","R low","Res",7579.387776,"Mid_Sub","Mix area"
"35",0.097222984863518,-0.121285022760547,78,0,"Kita-ku","R low I","R low","Res",7921.000874,"Mid_Sub","Private area"
"36",-0.0412585913668401,0.0214951405556392,84,0,"Nishiky身-ku","R low I","R low","Res",9008.43729,"Suburban","Private area"
"37",-0.0165226122460026,0.0858737723059345,86,0,"Uky身-ku","R low I","R low","Res",9114.894243,"Suburban","Private area"
"38",-0.0340925202221256,-0.0174950798276457,89,0,"Fushimi-ku","R low I","R low","Res",6710.640914,"Mid_Sub","Private area"
"39",-0.095242853700103,0.0211314160447626,92,0,"Kita-ku","R low I","R low","Res",7004.668532,"Mid_Sub","Private area"
"40",-0.00193099531322693,0.0717377038574583,94,0,"Kita-ku","R low I","R low","Res",5380.996084,"Cen-Mid","Private area"
"41",0.11997103154502,0.074174063370799,98,0,"Saky身-ku","R low I","R low","Res",7502.628129,"Mid_Sub","Private area"
"42",-0.0139856330877139,-0.0237196696093325,102,0,"Fushimi-ku","R low I","R low","Res",7547.824407,"Mid_Sub","Private area"
"43",-0.0283127174183328,-0.104133535179599,103,0,"Nishiky身-ku","R low I","R low","Res",10433.57963,"Suburban","Private area"
